,MSE_Avg10,MAE_Avg10,R-Squared_Avg10,PCC_Avg10
SLR_Var1,963.4836685204822,23.351851503728092,0.7659623134713307,0.8771223997586208
SLR_Var2,829.0694957619799,20.513819632010485,0.7974799686681812,0.8949483145012742
MLR,565.4403665468811,17.172404009107467,0.8623134709941018,0.9299043274380617
