SLR_Var1,SLR_Var2,MLR
1181.5288093035554,746.3207459061316,589.2351940837908
847.2631936765664,912.5331226569485,592.8754217642322
1084.1765620289646,925.7846506007106,660.0454683211151
703.8109160113903,773.5271647277938,435.6104658730385
892.826972752874,821.4814660303772,504.6138310917868
966.2342097168814,780.1731724810559,574.6919338713999
1121.7741315615087,919.4508331157136,641.4200857831693
1056.95165883298,900.121646942529,618.2569817655763
957.8350691242316,664.4096062945873,506.62809948312247
822.4351621958706,846.8925488639518,531.0261834315809
