SLR_Var1,SLR_Var2,MLR
25.568890456023563,20.343266702256766,18.01627010250148
22.296070432124296,21.143439912408795,17.288138195989173
24.775193190443126,21.49761259886343,18.616114303223085
20.247812119605477,19.95738320618196,14.974544344585365
23.183752365573497,20.381009937824498,16.25118537584828
24.232989589923616,20.280825292346645,17.90205839297995
25.100134215011106,21.450851845424523,18.22484081294602
23.76941407495032,22.143681609261833,17.734146688698903
23.315689466051627,18.20715545054135,16.145544897186436
21.02856912757429,19.732969764995072,16.57119697711598
