SLR_Var1,SLR_Var2,MLR
0.8545241352989885,0.910668331003141,0.9299101977236751
0.8934851534570769,0.8853866699953139,0.9272139063181482
0.8576264060323184,0.8784732882336422,0.9151380562350029
0.908719874658418,0.8996330641403759,0.945164721589492
0.8777380790207503,0.8888193459006573,0.9331264760522752
0.8762506401308628,0.9008902323700003,0.9280074481979224
0.8655417654694887,0.892135325262639,0.9258398877744132
0.8707766073040458,0.8902879824005085,0.926567590801185
0.8863671220539227,0.922015300674399,0.9418391106023889
0.8801942141603354,0.8811736050320642,0.9262358790861149
